EDGE_ID,GridNo,Split_SequenceNum,CentroidX,CentroidY
16357990,4428,0,77.029564,28.735828
16357990,4428,1,77.029631,28.735828
16357990,4428,2,77.029631,28.73574
16357990,4428,3,77.029564,28.73574
16357990,4428,4,77.029564,28.735828
16357991,4428,0,77.029086,28.735178
16357991,4428,1,77.029086,28.735449
16357991,4428,2,77.02917,28.735449
16357991,4428,3,77.02917,28.735252
16357991,4428,4,77.029428,28.735244
16357991,4428,5,77.029428,28.735272
16357991,4428,6,77.029455,28.735272
16357991,4428,7,77.029455,28.735418
16357991,4428,8,77.029442,28.735418
16357991,4428,9,77.029442,28.735447
16357991,4428,10,77.029455,28.735447
16357991,4428,11,77.029455,28.735671
16357991,4428,12,77.029528,28.735671
16357991,4428,13,77.029528,28.735178
16357991,4428,14,77.029086,28.735178
16357992,4428,0,77.029327,28.732502
16357992,4428,1,77.029331,28.732604
16357992,4428,2,77.029567,28.732542
16357992,4428,3,77.029558,28.732445
16357992,4428,4,77.029327,28.732502
16357993,4428,0,77.029481,28.732985
16357993,4428,1,77.029488,28.733025
16357993,4428,2,77.029565,28.733013
16357993,4428,3,77.029546,28.732891
16357993,4428,4,77.029439,28.732908
16357993,4428,5,77.029452,28.732989
16357993,4428,6,77.029481,28.732985
16357996,4528,0,77.03497,28.728842
16357996,4528,1,77.034971,28.728837
16357996,4528,2,77.034925,28.728828
16357996,4528,3,77.034921,28.728842
16357996,4528,4,77.034903,28.728909
16357996,4528,5,77.03496,28.728921
16357996,4528,6,77.03497,28.728842
16357996,4428,0,77.03497,28.728842
16357996,4428,1,77.034971,28.728837
16357996,4428,2,77.034925,28.728828
16357996,4428,3,77.034921,28.728842
16357996,4428,4,77.034903,28.728909
16357996,4428,5,77.03496,28.728921
16357996,4428,6,77.03497,28.728842
16357998,4428,0,77.042842,28.733561
16357998,4428,1,77.043016,28.733561
16357998,4428,2,77.043016,28.733389
16357998,4428,3,77.042842,28.733389
16357998,4428,4,77.042842,28.733561
16357998,4429,0,77.042842,28.733561
16357998,4429,1,77.043016,28.733561
16357998,4429,2,77.043016,28.733389
16357998,4429,3,77.042842,28.733389
16357998,4429,4,77.042842,28.733561
16358001,4529,0,77.049647,28.728387
16358001,4529,1,77.049878,28.728774
16358001,4529,2,77.049918,28.72875
16358001,4529,3,77.049981,28.728856
16358001,4529,4,77.050122,28.728772
16358001,4529,5,77.049777,28.728194
16358001,4529,6,77.049641,28.728275
16358001,4529,7,77.049692,28.72836
16358001,4529,8,77.049647,28.728387
16358001,4429,0,77.049647,28.728387
16358001,4429,1,77.049878,28.728774
16358001,4429,2,77.049918,28.72875
16358001,4429,3,77.049981,28.728856
16358001,4429,4,77.050122,28.728772
16358001,4429,5,77.049777,28.728194
16358001,4429,6,77.049641,28.728275
16358001,4429,7,77.049692,28.72836
16358001,4429,8,77.049647,28.728387
16358002,4529,0,77.047413,28.728999
16358002,4529,1,77.047929,28.728991
16358002,4529,2,77.04793,28.728853
16358002,4529,3,77.047723,28.728852
16358002,4529,4,77.047724,28.728722
16358002,4529,5,77.047485,28.728721
16358002,4529,6,77.047484,28.728856
16358002,4529,7,77.047414,28.728856
16358002,4529,8,77.047413,28.728999
16358002,4429,0,77.047413,28.728999
16358002,4429,1,77.047929,28.728991
16358002,4429,2,77.04793,28.728853
16358002,4429,3,77.047723,28.728852
16358002,4429,4,77.047724,28.728722
16358002,4429,5,77.047485,28.728721
16358002,4429,6,77.047484,28.728856
16358002,4429,7,77.047414,28.728856
16358002,4429,8,77.047413,28.728999
16358003,4429,0,77.056114,28.737036
16358003,4429,1,77.056523,28.737036
16358003,4429,2,77.056523,28.73693
16358003,4429,3,77.056544,28.73693
16358003,4429,4,77.056544,28.736831
16358003,4429,5,77.056464,28.736831
16358003,4429,6,77.056464,28.736966
16358003,4429,7,77.056167,28.736966
16358003,4429,8,77.056167,28.736892
16358003,4429,9,77.056114,28.736892
16358003,4429,10,77.056114,28.737036
16358003,4430,0,77.056114,28.737036
16358003,4430,1,77.056523,28.737036
16358003,4430,2,77.056523,28.73693
16358003,4430,3,77.056544,28.73693
16358003,4430,4,77.056544,28.736831
16358003,4430,5,77.056464,28.736831
16358003,4430,6,77.056464,28.736966
16358003,4430,7,77.056167,28.736966
16358003,4430,8,77.056167,28.736892
16358003,4430,9,77.056114,28.736892
16358003,4430,10,77.056114,28.737036
16358004,4530,0,77.065405,28.728783
16358004,4530,1,77.065406,28.728833
16358004,4530,2,77.065726,28.728832
16358004,4530,3,77.065726,28.728782
16358004,4530,4,77.065405,28.728783
16358004,4430,0,77.065405,28.728783
16358004,4430,1,77.065406,28.728833
16358004,4430,2,77.065726,28.728832
16358004,4430,3,77.065726,28.728782
16358004,4430,4,77.065405,28.728783
16358005,4530,0,77.064134,28.728828
16358005,4530,1,77.064134,28.728786
16358005,4530,2,77.06397,28.728785
16358005,4530,3,77.063969,28.728827
16358005,4530,4,77.064134,28.728828
16358011,4428,0,77.037948,28.732963
16358011,4428,1,77.03798,28.733
16358011,4428,2,77.038094,28.732927
16358011,4428,3,77.038043,28.73285
16358011,4428,4,77.037918,28.732923
16358011,4428,5,77.037924,28.732932
16358011,4428,6,77.037921,28.732935
16358011,4428,7,77.037918,28.732939
16358011,4428,8,77.037919,28.732943
16358011,4428,9,77.037919,28.732948
16358011,4428,10,77.037922,28.732952
16358011,4428,11,77.037926,28.732957
16358011,4428,12,77.03793,28.73296
16358011,4428,13,77.037943,28.732962
16358011,4428,14,77.037948,28.732963
16358016,4428,0,77.037251,28.732057
16358016,4428,1,77.037241,28.732063
16358016,4428,2,77.037359,28.732262
16358016,4428,3,77.037423,28.732225
16358016,4428,4,77.037431,28.732234
16358016,4428,5,77.037443,28.732238
16358016,4428,6,77.037457,28.732238
16358016,4428,7,77.037483,28.73223
16358016,4428,8,77.03752,28.732208
16358016,4428,9,77.037514,28.732199
16358016,4428,10,77.037596,28.73215
16358016,4428,11,77.037545,28.732065
16358016,4428,12,77.037518,28.732081
16358016,4428,13,77.037436,28.731942
16358016,4428,14,77.037375,28.731978
16358016,4428,15,77.037367,28.731964
16358016,4428,16,77.037241,28.732039
16358016,4428,17,77.037251,28.732057
16358019,4528,0,77.030027,28.728694
16358019,4528,1,77.03002,28.72869
16358019,4528,2,77.030012,28.728686
16358019,4528,3,77.030004,28.728685
16358019,4528,4,77.029995,28.728685
16358019,4528,5,77.029987,28.728686
16358019,4528,6,77.029979,28.728689
16358019,4528,7,77.029972,28.728694
16358019,4528,8,77.029966,28.728699
16358019,4528,9,77.029961,28.728706
16358019,4528,10,77.029959,28.728713
16358019,4528,11,77.029958,28.728721
16358019,4528,12,77.029958,28.728728
16358019,4528,13,77.029961,28.728735
16358019,4528,14,77.029965,28.728742
16358019,4528,15,77.029971,28.728748
16358019,4528,16,77.029978,28.728752
16358019,4528,17,77.029986,28.728756
16358019,4528,18,77.029994,28.728757
16358019,4528,19,77.030003,28.728757
16358019,4528,20,77.030011,28.728756
16358019,4528,21,77.030019,28.728753
16358019,4528,22,77.030026,28.728748
16358019,4528,23,77.030032,28.728743
16358019,4528,24,77.030037,28.728736
16358019,4528,25,77.030039,28.728729
16358019,4528,26,77.03004,28.728721
16358019,4528,27,77.03004,28.728714
16358019,4528,28,77.030037,28.728706
16358019,4528,29,77.030033,28.7287
16358019,4528,30,77.030027,28.728694
16358032,4530,0,77.061807,28.728306
16358032,4530,1,77.061874,28.728304
16358032,4530,2,77.061869,28.728117
16358032,4530,3,77.061802,28.728119
16358032,4530,4,77.061807,28.728306
16358033,4530,0,77.061534,28.72836
16358033,4530,1,77.061878,28.728355
16358033,4530,2,77.061877,28.72831
16358033,4530,3,77.061598,28.728313
16358033,4530,4,77.061597,28.728251
16358033,4530,5,77.061533,28.728252
16358033,4530,6,77.061534,28.72836
16358034,4528,0,77.038692,28.727807
16358034,4528,1,77.038723,28.727836
16358034,4528,2,77.03879,28.727768
16358034,4528,3,77.038765,28.727744
16358034,4528,4,77.038735,28.727775
16358034,4528,5,77.038728,28.72777
16358034,4528,6,77.038692,28.727807
16358371,4429,0,77.051797,28.736839
16358371,4429,1,77.051797,28.736761
16358371,4429,2,77.051733,28.736761
16358371,4429,3,77.051733,28.736839
16358371,4429,4,77.051797,28.736839
16358372,4429,0,77.052015,28.73675
16358372,4429,1,77.052015,28.736803
16358372,4429,2,77.052158,28.736804
16358372,4429,3,77.052158,28.736751
16358372,4429,4,77.052015,28.73675
16358373,4429,0,77.05231,28.736841
16358373,4429,1,77.052374,28.736841
16358373,4429,2,77.052374,28.736749
16358373,4429,3,77.05231,28.736749
16358373,4429,4,77.05231,28.736841
16358374,4429,0,77.05322,28.735566
16358374,4429,1,77.053355,28.735562
16358374,4429,2,77.053346,28.735386
16358374,4429,3,77.053092,28.735399
16358374,4429,4,77.053097,28.735481
16358374,4429,5,77.053254,28.735473
16358374,4429,6,77.053257,28.735527
16358374,4429,7,77.053218,28.735529
16358374,4429,8,77.05322,28.735566
16358375,4429,0,77.052817,28.734989
16358375,4429,1,77.052934,28.734988
16358375,4429,2,77.052934,28.734976
16358375,4429,3,77.052988,28.734975
16358375,4429,4,77.052988,28.734907
16358375,4429,5,77.052816,28.734909
16358375,4429,6,77.052817,28.734989
16358376,4429,0,77.0531,28.734647
16358376,4429,1,77.053166,28.734646
16358376,4429,2,77.053165,28.734604
16358376,4429,3,77.053099,28.734605
16358376,4429,4,77.0531,28.734647
16358377,4429,0,77.053406,28.734698
16358377,4429,1,77.05349,28.734696
16358377,4429,2,77.053487,28.734619
16358377,4429,3,77.053404,28.734621
16358377,4429,4,77.053406,28.734698
16358378,4429,0,77.052897,28.734657
16358378,4429,1,77.05299,28.734656
16358378,4429,2,77.05299,28.734614
16358378,4429,3,77.053022,28.734613
16358378,4429,4,77.053021,28.734563
16358378,4429,5,77.052899,28.734565
16358378,4429,6,77.0529,28.734603
16358378,4429,7,77.052891,28.734603
16358378,4429,8,77.052891,28.73463
16358378,4429,9,77.052897,28.73463
16358378,4429,10,77.052897,28.734657
16358379,4429,0,77.051002,28.735128
16358379,4429,1,77.051199,28.735124
16358379,4429,2,77.051199,28.735078
16358379,4429,3,77.05099,28.735082
16358379,4429,4,77.050991,28.735112
16358379,4429,5,77.051002,28.735112
16358379,4429,6,77.051002,28.735128
16358380,4429,0,77.051096,28.735175
16358380,4429,1,77.051202,28.735172
16358380,4429,2,77.051201,28.735131
16358380,4429,3,77.051094,28.735133
16358380,4429,4,77.051096,28.735175
16358381,4429,0,77.050994,28.735277
16358381,4429,1,77.051208,28.735275
16358381,4429,2,77.051207,28.73518
16358381,4429,3,77.050993,28.735183
16358381,4429,4,77.050994,28.735277
16358382,4429,0,77.050959,28.735654
16358382,4429,1,77.050961,28.735601
16358382,4429,2,77.050896,28.735599
16358382,4429,3,77.050895,28.735653
16358382,4429,4,77.050959,28.735654
16358383,4429,0,77.050752,28.735807
16358383,4429,1,77.05094,28.735804
16358383,4429,2,77.050938,28.735713
16358383,4429,3,77.050751,28.735716
16358383,4429,4,77.050752,28.735807
16358384,4429,0,77.050425,28.735755
16358384,4429,1,77.050489,28.735754
16358384,4429,2,77.050489,28.735671
16358384,4429,3,77.050387,28.735673
16358384,4429,4,77.050388,28.735716
16358384,4429,5,77.050424,28.735716
16358384,4429,6,77.050425,28.735755
16358385,4429,0,77.050281,28.735875
16358385,4429,1,77.05042,28.735872
16358385,4429,2,77.050419,28.735835
16358385,4429,3,77.050389,28.735836
16358385,4429,4,77.050388,28.735812
16358385,4429,5,77.050406,28.735812
16358385,4429,6,77.050405,28.735785
16358385,4429,7,77.050421,28.735784
16358385,4429,8,77.05042,28.735757
16358385,4429,9,77.050278,28.73576
16358385,4429,10,77.050281,28.735875
16358386,4429,0,77.050121,28.736046
16358386,4429,1,77.050241,28.736046
16358386,4429,2,77.050241,28.735957
16358386,4429,3,77.0501,28.735957
16358386,4429,4,77.0501,28.735986
16358386,4429,5,77.050121,28.735986
16358386,4429,6,77.050121,28.736046
16358387,4429,0,77.049483,28.736191
16358387,4429,1,77.049483,28.736099
16358387,4429,2,77.049269,28.736099
16358387,4429,3,77.049269,28.736191
16358387,4429,4,77.049483,28.736191
16358388,4429,0,77.04948,28.735628
16358388,4429,1,77.049481,28.73558
16358388,4429,2,77.049444,28.735579
16358388,4429,3,77.049444,28.735628
16358388,4429,4,77.04948,28.735628
16358389,4429,0,77.049229,28.735777
16358389,4429,1,77.04944,28.735765
16358389,4429,2,77.049435,28.735683
16358389,4429,3,77.049225,28.735695
16358389,4429,4,77.049229,28.735777
16358390,4429,0,77.049774,28.735694
16358390,4429,1,77.049988,28.735692
16358390,4429,2,77.049988,28.735637
16358390,4429,3,77.049773,28.735639
16358390,4429,4,77.049774,28.735694
16358391,4429,0,77.049537,28.735516
16358391,4429,1,77.049689,28.735516
16358391,4429,2,77.049689,28.735492
16358391,4429,3,77.049619,28.735492
16358391,4429,4,77.049619,28.735443
16358391,4429,5,77.049596,28.735443
16358391,4429,6,77.049595,28.735347
16358391,4429,7,77.049537,28.735347
16358391,4429,8,77.049537,28.735516
16358392,4429,0,77.050101,28.735459
16358392,4429,1,77.050223,28.735456
16358392,4429,2,77.050221,28.73533
16358392,4429,3,77.050101,28.735332
16358392,4429,4,77.050102,28.735375
16358392,4429,5,77.050117,28.735375
16358392,4429,6,77.050118,28.735427
16358392,4429,7,77.050101,28.735427
16358392,4429,8,77.050101,28.735459
16358393,4429,0,77.049225,28.735232
16358393,4429,1,77.049292,28.735231
16358393,4429,2,77.049291,28.735191
16358393,4429,3,77.049224,28.735192
16358393,4429,4,77.049225,28.735232
16358394,4429,0,77.049482,28.735438
16358394,4429,1,77.049482,28.735339
16358394,4429,2,77.049368,28.735339
16358394,4429,3,77.049368,28.735438
16358394,4429,4,77.049482,28.735438
16358395,4429,0,77.049402,28.734877
16358395,4429,1,77.049457,28.734876
16358395,4429,2,77.049455,28.734805
16358395,4429,3,77.049401,28.734807
16358395,4429,4,77.049402,28.734877
16358396,4429,0,77.049424,28.734924
16358396,4429,1,77.049464,28.734921
16358396,4429,2,77.049461,28.734882
16358396,4429,3,77.049421,28.734885
16358396,4429,4,77.049424,28.734924
16358397,4429,0,77.051079,28.734872
16358397,4429,1,77.051182,28.734869
16358397,4429,2,77.051179,28.734782
16358397,4429,3,77.051076,28.734785
16358397,4429,4,77.051079,28.734872
16358398,4429,0,77.051976,28.734676
16358398,4429,1,77.052168,28.734673
16358398,4429,2,77.052166,28.734576
16358398,4429,3,77.051975,28.734578
16358398,4429,4,77.051976,28.734676
16358399,4429,0,77.051221,28.733635
16358399,4429,1,77.051365,28.733631
16358399,4429,2,77.051361,28.733468
16358399,4429,3,77.051217,28.733472
16358399,4429,4,77.051221,28.733635
16358400,4429,0,77.050552,28.734224
16358400,4429,1,77.050552,28.734207
16358400,4429,2,77.05051,28.734207
16358400,4429,3,77.050509,28.734224
16358400,4429,4,77.050552,28.734224
16358401,4429,0,77.050551,28.73414
16358401,4429,1,77.050693,28.734138
16358401,4429,2,77.050692,28.734072
16358401,4429,3,77.050551,28.734074
16358401,4429,4,77.050551,28.73414
16358402,4429,0,77.050604,28.734226
16358402,4429,1,77.050694,28.734224
16358402,4429,2,77.050693,28.734148
